<<<<<<< HEAD
"ZZ2_FILIAL","ZZ2_CONFOR","ZZ2_FORNEC","ZZ2_LOJAFO","ZZ2_DATA","ZZ2_HORA","ZZ2_CODPRO","ZZ2_QTDOK","ZZ2_QTDNOK","ZZ2_VLRUNI"
"","C00001","000001","01","07/31/26","12:00","PROD001","98","2","10.00"
"","C00001","000001","01","08/02/26","12:00","PROD001","80","20","10.00"
"","C00002","000002","01","08/04/26","12:00","PROD002","95","5","25.00"
"","C00099","000001","01","08/05/26","23:24","PROD001","99","1","10.00"
=======
"ZZ2_FILIAL","ZZ2_CONFOR","ZZ2_FORNEC","ZZ2_LOJAFO","ZZ2_DATA","ZZ2_HORA","ZZ2_CODPRO","ZZ2_QTDOK","ZZ2_QTDNOK","ZZ2_VLRUNI"
"","C00001","000001","01","07/31/26","12:00","PROD001","98","2","10.00"
"","C00001","000001","01","08/02/26","12:00","PROD001","80","20","10.00"
"","C00002","000002","01","08/04/26","12:00","PROD002","95","5","25.00"
"","C00099","000001","01","08/05/26","23:24","PROD001","99","1","10.00"
>>>>>>> cc44e9158cc840ae9e58cfc5d3a393ab455d227a
